Date,Climb,Difficulty,Type,Area,Pitches,Height,Style,Partner(s),Notes
2023-11-18,Son of White Trash,5.8,Sport,The Dump,1,40,"Lead, Redpoint",Abigail La.,Nuthin' to say
2023-11-18,Red Headed Stepchild,5.10a,Trad,The Dump,1,30,"Lead, Onsight",Abigail La.,"Super fun, definitely worth getting on!! "
2023-11-18,Unwritten Law,5.12b,Sport,The Dump,1,45,"Lead, Fell/Hung",Abigail La.,Made it clean to the dyno again then botched it. Gave a couple more throws then came down bc a wicked flapper on my pinkie :(
2023-11-18,Dimpsty Dumpster,5.10a,Sport,The Dump,1,25,"Lead, Redpoint",Abigail La.,Nuthin' to say
2023-11-18,Unwritten Law,5.12b,Sport,The Dump,1,45,"Lead, Fell/Hung",Abigail La.,"Got it clean to the dyno, then fell. Hung for a bit then tried again and got the move for the first time!"
2023-11-18,Voodoo Child,5.11a,Sport,The Dump,1,60,"Lead, Redpoint",Abigail La.,Nuthin' to say
2023-11-18,Vermin,5.10b,Sport,The Dump,1,60,"Lead, Onsight",Abigail La.,Nuthin' to say
2023-09-23,19'-hexanoyloxyfucoxanthin,5.9,Trad,Whitewater Buttress,2,110,"Lead, Onsight",Abigail La.,FA of 19'-hexanoyloxyfucoxanthin. Followed crux pitch
2023-09-23,Prime Rib,5.10a,Trad,Whitewater Buttress,2,70,"Lead, Onsight",Abigail La.,FA of Prime Rib. Led the crux pitch
2023-09-05,The 8th Sin,5.11d,Sport,The Underworld,1,50,"Lead, Fell/Hung",Abigail La.,"Route was bone dry today, had a ton of fun! Hung a couple times, made it to the moves just below the anchor and biffed it. So fun!"
2023-09-05,The Devil Wears Prana,5.10b,Sport,The Underworld,1,70,"Lead, Onsight",Abigail La.,Nuthin' to say
2023-09-03,Capt Crunch,5.10d,Trad,Cereal Buttress,1,80,"Lead, Fell/Hung",Abigail La.,"What a fight! Had a ton of fun, it was just the right challenge level. Very dirty though "
2023-09-03,Born Again,5.10d,Sport,Cereal Buttress,1,90,"Lead, Pinkpoint",Abigail La.,"Top roped to the second bolt, led the rest. Clean"
2023-09-03,Shredded Wheat,5.11a,Trad,Cereal Buttress,1,90,"Lead, Onsight",Abigail La.,Incredible!! Was a little touch and go in the crux but I pulled through 
2023-09-03,Frosted Flake,5.9+,Trad,Cereal Buttress,1,80,"Follow, Clean",Abigail La.,Nuthin' to say
2023-06-08,Guillotine,5.10a,Trad,Otter Cliffs,1,40,"Follow, Clean",Abigail La.,Nuthin' to say
2023-06-08,Wonder Wall,5.8,Trad,Otter Cliffs,1,50,"Lead, Redpoint",Abigail La.,Really don't know why people don't like to lead this! It eats up micros with an odd hand and finger sized cam thrown in for good measure. Never placed a nut
2023-06-08,Peak Performance,5.10a,Trad,Otter Cliffs,1,60,"Lead, Fell/Hung",Abigail La.,"This climb was greasy as fuck. Abby led to the traverse but it was too wet. I pinkpointed to that point, did the traverse, tried the crimpy face but peeled off because it was so damp and took a chunky whip on a .4. I'll have to come back when it's drier!"
2023-06-08,Wonder Wall,5.8,Trad,Otter Cliffs,1,50,"TR, Clean",Abigail La.,Nuthin' to say
2023-06-08,A Dare by the Sea,5.10b,Trad,Otter Cliffs,1,60,"Lead, Flash",Abigail La.,Nuthin' to say
2023-06-08,"Easy Corner (aka ? ""Wonder Corner"" )",5.6,Trad,Otter Cliffs,1,60,"Follow, Clean",Abigail La.,Nuthin' to say
2023-06-07,Echoes,"5.11d, PG13",Trad,Cathedral Ledge,1,100,"TR, Fell/Hung",Abigail La.,A bunch of falls through the crux. Pretty thin!
2023-06-07,Recompense,5.9,Trad,Cathedral Ledge,1,100,"Follow, Clean",Abigail La.,Followed the last pitch
2023-06-07,The Prow,5.11d,Trad,Cathedral Ledge,1,100,"Lead, Onsight",Abigail La.,"Just led the last pitch. The description is pretty on point, it was super nice!"
2023-06-07,Goofer's Delight,5.10a,Trad,Cathedral Ledge,1,140,"Lead, Onsight",Abigail La.,"Lowered to the top pitch and just did the traverse. Very easy, but a ton of fun and a crowd pleaser!"
2023-06-05,The Fastest Gun,5.10b,Trad,Poke-O-Moonshine,2,200,"Lead, Onsight",Abigail La.,"Linked up after climbing Bloody Mary. Led to the top of P2 and P3, followed P4. What a climb!! Will have to come back to do the whole thing sometime.
Wild doing those insecure, slabby moves above the two smallest pieces I own (a #1 DMM Peenut and a #0 Z4 equalized with a sliding x)"
2023-06-05,Bloody Mary,5.9,Trad,Poke-O-Moonshine,2,200,"Lead, Onsight",Abigail La.,"Led P1, followed P2. So sick!! I'd like to come back to lead P2 sometime"
2023-06-04,Slim Pickins,5.9,Trad,The Spiders Web,1,90,"Lead, Onsight",Abigail La.,"Very fun climb, plenty easy enough to savor without cruxing out"
2023-06-04,Esthesia,5.10a,Trad,The Spiders Web,1,90,"Follow, Clean",Abigail La.,"Did the crux roof offwidth style which was a tall order, but it went!"
2023-06-04,TR,5.10a,Trad,The Spiders Web,1,70,"Lead, Onsight",Abigail La.,"What a fight, but rests where you need them!"
2023-06-03,Good Day,5.10b,Sport,Shelving Rock,1,90,"Lead, Flash",Abigail La.,"Pretty fun, cruiser climb! Crux is just 'can you crimp hard enough?'"
2023-06-03,The Gong Show,5.9,Trad,Shelving Rock,1,100,"Lead, Onsight",Abigail La.,Peregrine tried to poop on us while lowering!
2023-06-03,Grin and Bear It,5.8,Trad,Shelving Rock,1,90,"Lead, Pinkpoint",Abigail La.,Not really sandbagged in my opinion 
2023-06-03,Snake Charmer,5.9,Trad,Shelving Rock,1,100,"Lead, Onsight",Abigail La.,Nuthin' to say
2023-06-03,Lunar Manscaping,5.8,Trad,Shelving Rock,1,90,"Lead, Pinkpoint",Abigail La.,Nuthin' to say
2023-06-01,Birdbrain,"5.12a, X",Trad,The Near Trapps,1,80,"TR, Fell/Hung",Abigail La.,"Pretty tough, but I did all the moves! Fell about a billion times though"
2023-06-01,Bird Cage,5.10b,Trad,The Near Trapps,1,100,"Follow, Clean",Abigail La.,"Damn, the only way to describe the crux is 'thuggy'"
2023-06-01,Transcontinental Nailway,5.10b,Trad,The Near Trapps,1,100,"Lead, Fell/Hung",Abigail La.,"Took a fall after pulling the roof, pumped out trying to find a good enough left hand to clip from. felt like a real sandbag at 10b"
2023-06-01,Birdland,5.8+,Trad,The Near Trapps,1,200,"Follow, Clean",Abigail La.,Nuthin' to say
2023-05-30,Ants' Line,5.9,Trad,The Trapps,1,80,"Lead, Onsight",Abigail La.,Nuthin' to say
2023-05-30,Space Invaders,5.10d,Trad,The Trapps,1,70,"TR, Clean",Abigail La.,A
2023-05-30,Bonnie's Roof,5.9,Trad,The Trapps,3,250,"Lead, Onsight",Abigail La.,"Led P1, accidentally stopped right after the crux. Followed pitches 2 and 3"
2023-05-30,High Exposure,5.6,Trad,The Trapps,1,250,"Follow, Clean",Abigail La.,"Followed P2, fucking sick"
2023-05-30,Directissima,5.9,Trad,The Trapps,3,120,"Lead, Onsight",Abigail La.,"Led P1 and P3. Lots of fun, the best way to get to High E but then it's also the only one I've done"
2023-05-28,Balcony Arête,5.9,Trad,Great Falls,1,35,"TR, Clean",Abigail La.,Nuthin' to say
2023-05-28,Backslider,5.7,TR,Great Falls,1,25,"TR, Clean",Abigail La.,Nuthin' to say
2023-05-28,Possibilities,5.9,TR,Great Falls,1,25,"TR, Clean",Abigail La.,Nuthin' to say
2023-05-28,Left Stuff,5.7,TR,Great Falls,1,25,"TR, Clean",Abigail La.,"Would be a nice least on gear, albeit with a cruxy start"
2023-05-28,Right Stuff,5.7,TR,Great Falls,1,25,"TR, Clean",Abigail La.,Nuthin' to say
2023-05-24,Roy Gap Chimney's,5.6,Trad,Seneca Rocks,2,220,"Lead, Onsight",Abigail La.,"Followed P1 of Climbin' Punishment, then led P2 of Roy Gap Chimney's "
2023-05-24,Sunshine,"5.10a, PG13",Trad,Seneca Rocks,1,100,"TR, Fell/Hung",Abigail La.,Fell once about 10 feet off the deck and almost hit the ground from rope stretch! Got it clean next go. Would be a somewhat spicy lead
