Date,Climb,Difficulty,Type,Area,Pitches,Height,Style,Partner(s),Notes
2022-02-05,Shock the Monkey,5.10c,Sport,Sauratown,1,80,"Lead, Fell/Hung",Cecilia Ca.,"Shock The Monkey, S-town. Got the technical crux clean, but pumped out on the overhang above. Gotta get that endurance game up"
2022-02-05,Old Man's Sport Route,5.11a,Sport,Sauratown,1,60,"Lead, Onsight",Cecilia Ca.,"Old Man&#39;s Sugar Daddy, S-town"
2022-02-05,Whiskey Sour,5.6,Trad,Sauratown,1,80,"Follow, Clean",Cecilia Ca.,"Whiskey Sour, S-town. Followed Kek, who did it right and went through the roof. Her first trad lead!"
2022-02-05,Whiskey Sour,5.6,Trad,Sauratown,1,80,"Lead, Onsight",Cecilia Ca.,Whiskey Sour at S-town. Went right under the roof when I should have gone left through it
2021-05-09,Sentinel Buttress,5.5,Trad,Sentinel Buttress,2,200,"Lead, Redpoint",Cecilia Ca.,Nuthin' to say
2021-05-09,Almost Seven (aka Golden Earring),5.7,Trad,Moores Amphitheater,1,120,"Lead, Flash",Cecilia Ca.,Nuthin' to say
2021-05-09,Wailing Wall,5.6,Trad,Moores Amphitheater,1,120,"Lead, Onsight",Cecilia Ca.,Nuthin' to say
2021-05-08,Any Major Dude,5.11c,Sport,Pilot Mountain,1,30,"TR, Clean",Cecilia Ca.,Clean. Extra practice I guess
2021-05-08,Any Major Dude,5.11c,Sport,Pilot Mountain,1,30,"TR, Clean",Cecilia Ca.,Clean. I think I found the low beta!
2021-05-08,Outhouse,5.7,Trad,Pilot Mountain,1,50,"TR, Clean",Cecilia Ca.,Nuthin' to say
2021-05-08,Duracell,5.8,TR,Pilot Mountain,1,60,"Lead, Fell/Hung",Cecilia Ca.,Took a fall for Kek to practice lead belaying 
2021-05-08,Dude on the Corner,5.9,Sport,Pilot Mountain,1,50,"Lead, Onsight",Cecilia Ca.,Nuthin' to say
2021-05-08,Howdy Dude,5.7,TR,Pilot Mountain,1,60,"Lead, Onsight",Cecilia Ca.,Fun lead!
2021-04-15,Super Pinch,5.10d,Sport,Gold Coast,1,50,"Lead, Fell/Hung",Cecilia Ca.,Pumped out and whipped from the 3rd bolt. Whee!
