Date,Climb,Difficulty,Type,Area,Pitches,Height,Style,Partner(s),Notes
2021-10-11,Bernalina,"5.7, Grade II",Sport,Pena de Bernal,5,500,"Lead, Onsight",Kelly Wi.,"Led odds, linked P1 with P2 and P6 with P7 as described in the comments"
2021-09-22,That Eight (aka Kennel Club),5.8,Sport,Sand Rock,1,60,"Lead, Onsight",Kelly Wi.,Nuthin' to say
2021-09-22,Climbing Merit Badge,5.6,Trad,Sand Rock,1,35,"Lead, Redpoint",Kelly Wi.,Nuthin' to say
2021-08-27,Northeast Buttress,5.5,Trad,Mt. Goode,1,0,"Solo, Clean",Kelly Wi.,"Glacier is out, had to turn back at it's base"
2021-08-18,Junior's Farm,"5.8, PG13, Grade III",Trad,Tyler Peak Crags,8,900,"Lead, Onsight",Kelly Wi.,"Swung leads, led odds. P6 is definitely super fun!!!"
2021-07-05,Groover (Gaskin Finish),5.8+,Trad,Laurel Knob,1,120,"Lead, Onsight",Kelly Wi.,"Led P1 clean, bailed due to lack of water. Next time!"
2021-05-29,North Ridge,5.7,Trad,The Sphinx,4,250,"Lead, Onsight",Kelly Wi.,"Pitches blended together because it's so wacky. followed P1, and P4, ""led"" P3. Entire party accidentally soloed P2 because it's so mellow"
2021-05-28,Terma,"5.9, PG13",Trad,Utopia,3,330,"Lead, Onsight",Kelly Wi.,"Led P1 & P3, only had 7 draws but it was fine"
2021-05-27,Standard Route (West Fins),5.3,Trad,Elephant Butte,1,1100,"Solo, Clean",Kelly Wi.,Super fun!
2021-05-26,"Regular Route (""East Rib"")","5.4, PG13",Sport,Looking Glass Rock,3,400,"Lead, Onsight",Kelly Wi.,"Swung leads, followed P2 and P3 that were linked"
2021-05-25,Mountaineers Route,"5.6, Grade II",Trad,Parriot Mesa,2,250,"Solo, Clean",Kelly Wi.,"Pulled on fixed ropes, all in good condition"
2021-04-03,Left Wishbone (Rock Scramble),5th,Scramble,Black Mountain Alpine,1,2200,"Solo, Clean",Kelly Wi.,So worked
2021-03-20,The Nose,5.8,Trad,Looking Glass Rock,5,400,"Lead, Onsight",Kelly Wi.,"Swung leads, led 1 and 3. Probably better when you can feel your fingers and toes"
2021-03-14,Lucy in the Sky with Diamonds,5.10a,Trad,Mount Yonah,1,80,"Lead, Onsight",Kelly Wi.,Shook like a leaf in the wind but sent anyway. Got a decent .2 X4 in before the first bolt
2021-03-14,Edges to Ledges,5.7,Trad,Mount Yonah,1,210,"Lead, Onsight",Kelly Wi.,"Only used passive pro, eats up tricams. Didn&#39;t trend right far enough and ended up topping out just left of New Standards"
2021-02-20,No Alternative,"5.5, PG13",Trad,Stone Mountain,3,400,"Lead, Onsight",Kelly Wi.,"Swung leads, only led P2"
2021-02-20,Block Route,"5.7+, PG13",Trad,Stone Mountain,1,150,"Lead, Onsight",Kelly Wi.,The block move is exciting!
2020-12-19,Cave Route,5.5,Trad,Table Rock,3,180,"Lead, Onsight",Kelly Wi.,"followed P1, led P2, followed P3"
2020-12-19,Crackerjack,5.8,Trad,Table Rock,2,200,"Lead, Redpoint",Kelly Wi.,Nuthin' to say
2020-12-06,The Prow,5.4,Trad,Linville Amphitheater,3,500,"Lead, Onsight",Kelly Wi.,"Simuled first pitch, followed second, led third"
2020-11-28,New Yosemite,5.9,Trad,The Junkyard,1,65,"TR, Clean",Kelly Wi.,"Ran up it, felt easy"
2020-11-28,New Yosemite,5.9,Trad,The Junkyard,1,65,"Lead, Redpoint",Kelly Wi.,Nuthin' to say
2020-11-28,Cave Routes  1 and  2,5.7,TR,The Junkyard,1,70,"Follow, Clean",Kelly Wi.,Nuthin' to say
2020-11-28,Team Jesus,5.10a,Trad,The Junkyard,1,65,"TRS, Clean",Kelly Wi.,TR solo. Send
2020-11-28,New River Gunks,5.7+,Trad,The Junkyard,1,80,"TR, Clean",Kelly Wi.,Nuthin' to say
2020-11-27,Jeff's Bunny Hop,5.8,Sport,Narcissus Cave,1,60,"Lead, Onsight",Kelly Wi.,"Definitely would want to stick clip next time, beginning moves are real thin"
2020-11-27,Sniff the Drill,5.8,Sport,Narcissus Cave,1,45,"TR, Clean",Kelly Wi.,Nuthin' to say
2020-11-27,"She Got the Bosch, I Got Drilled",5.10a,Sport,Orange Oswald Wall,1,90,"Lead, Pinkpoint",Kelly Wi.,Nuthin' to say
2020-11-27,Orange Express,5.10b,Sport,Orange Oswald Wall,1,75,"Lead, Onsight",Kelly Wi.,Nuthin' to say
2020-11-27,Orange Oswald,5.10a,Sport,Orange Oswald Wall,1,70,"Lead, Onsight",Kelly Wi.,Nuthin' to say
2020-11-27,Chunko Goes Bowling,5.9+,Sport,Orange Oswald Wall,1,80,"Lead, Pinkpoint",Kelly Wi.,Nuthin' to say
2020-11-22,Frosted Flake,5.9+,Trad,Cereal Buttress,1,80,"Lead, Redpoint","Kelly Wi., RJ Ch.",Nuthin' to say
2020-11-22,Granola,5.8+,Trad,Cereal Buttress,1,90,"Follow, Clean","Kelly Wi., RJ Ch.",Nuthin' to say
2020-11-22,Fruit Loops,5.7+,Trad,Cereal Buttress,2,160,"Follow, Clean","Kelly Wi., RJ Ch.",Nuthin' to say
2020-11-15,East Of Eden,V0-,Boulder,Grayson Highlands,1,12,"Send, -1",Kelly Wi.,No pad piddling
2020-11-15,Magnetic North,V0-,Boulder,Grayson Highlands,1,12,"Send, -1",Kelly Wi.,No pad piddling
2020-11-15,Peace of Westphalia (PoW),V0,Boulder,Grayson Highlands,1,14,"Send, -1",Kelly Wi.,No pad piddling
2020-11-15,Windy Heights,V0-,Boulder,Grayson Highlands,1,12,"Send, -1",Kelly Wi.,No pad piddling
2020-11-15,Highland Highball,V1-,Boulder,Grayson Highlands,1,20,"Attempt, -1",Kelly Wi.,"No pad or chalk, backed down halfway up due to slick holds"
2020-11-15,Slabacious,V0,Boulder,Grayson Highlands,1,12,"Send, -1",Kelly Wi.,No pad piddling
2020-10-31,The Great Arch,"5.5, Grade II",Trad,Stone Mountain,3,400,"Lead, Redpoint","Schmeckle No., Kelly Wi., Hannah Fe., Hailey Sc.","Spoopy climb. 3 pieces first two pitches, 1 piece last pitch"
2020-10-31,Entrance Crack,"5.5, R",Trad,Stone Mountain,1,90,"Lead, Onsight","Schmeckle No., Kelly Wi., Hannah Fe., Hailey Sc.",Spoopy climb 
