Date,Climb,Difficulty,Type,Area,Pitches,Height,Style,Partner(s),Notes
2024-04-23,Ecstasy,5.7,Trad,Seneca Rocks,2,250,"Lead, Redpoint",Maeve Th.,"Linked P1 and P2, don&#39;t do that in the future. Used a .1, .3, and a #1 peenut backed up by a piton for the hanging belay after the traverse"
2024-04-22,License to Drill,5.10a,Sport,Nelson Rocks,1,90,"Lead, Redpoint",Maeve Th.,"License To Drill at nrocks, did EZ Wider to start"
2024-04-22,Bottom Feeder,5.8,Sport,Nelson Rocks,1,90,"Lead, Redpoint",Maeve Th.,Bottom Feeder at nrocks
2024-04-16,Predator,5.12a,Sport,Seneca Rocks,1,45,"Lead, Fell/Hung","Maeve Th., Troy Ph.","Went bolt to bolt, but it's not as futuristic as I thought it might be!"
2024-04-16,Sunshine,"5.10a, PG13",Trad,Seneca Rocks,1,100,"TR, Clean","Maeve Th., Troy Ph.",Could go for the lead after I dial the gear!
2024-04-16,The Burn,5.8,Trad,Seneca Rocks,1,150,"Lead, Redpoint","Maeve Th., Troy Ph.",Nuthin' to say
2024-04-15,Climbin' Punishment,5.8,Trad,Seneca Rocks,1,180,"Lead, Redpoint",Maeve Th.,"Aided most of P1 after rain to remove a stuck cam. Totally busted, but fun!"
2024-01-28,Ending Crack,"5.7, PG13",Trad,Sespe Gorge,1,100,"Lead, Onsight",Maeve Th.,"Just did pitch 1. A dream to climb, super fun!!"
2024-01-28,Tree Root,5.5,Trad,Sespe Gorge,2,300,"Lead, Onsight",Maeve Th.,Pretty chill and fun! LOTS of ants at the base
2024-01-27,South Face Left,5.10b,TR,Point Dume,1,80,"TR, Clean",Maeve Th.,Took the left variation
2024-01-27,Left,5.8,TR,Point Dume,1,90,"TR, Clean",Maeve Th.,Nuthin' to say
2024-01-27,Left Center,5.8,TR,Point Dume,1,90,"TR, Clean",Maeve Th.,Nuthin' to say
