Date,Climb,Difficulty,Type,Area,Pitches,Height,Style,Partner(s),Notes
2025-11-06,Wham Bam Thanks for the Jam,5.10b,Trad,Beauty Mountain,1,70,"Lead, Onsight","Zia Zh., Nico Br., Jess St.","Kinda brutal start. Almost got Zias #3 stuck in there! The second half made it all worth it though, what a sweet crack"
2025-11-06,Supercrack,5.9+,Trad,Beauty Mountain,1,100,"Lead, Onsight","Zia Zh., Nico Br., Jess St.","What a fun climb! Awesome movement, great rests, and an exciting finish!"
2025-11-05,Berecik,5.8,Sport,Upper Meadow,1,60,"Lead, Onsight",Nico Br.,Great movement! Oddly hard finish right below the chains
2025-11-05,Girl Boner,5.9,Sport,Upper Meadow,1,60,"Lead, Onsight",Nico Br.,"More super fun climbing, great spot for beginners. Less than vertical face climbing with great holds and underclings"
2025-11-05,Rodent's Party,5.10c,Sport,Upper Meadow,1,65,"Lead, Onsight",Nico Br.,"Lots of fun, crimpy face climbing and some bonus roof pulls!"
2025-11-05,Bullocks,5.9+,Sport,Upper Meadow,1,50,"Lead, Onsight",Nico Br.,"Weirdly tough start followed by juggy cruiser 5.9, pretty sweet!"
2025-11-05,Starry,5.12a,Sport,Upper Meadow,1,90,"Lead, Redpoint",Nico Br.,"First 12!!! Got it first go, rested on the ledge for about 5 minutes. Whoooo!!!!"
2025-05-01,Ben Dunne,5.10a,Trad,Upper Meadow,1,70,"Lead, Onsight",Nico Br.,Nuthin' to say
2025-05-01,Starry,5.12a,Sport,Upper Meadow,1,70,"Lead, Fell/Hung",Nico Br.,Came up again to replace the broken quicklink on the perma and did the crux move but biffed it right after. Next time!
2025-05-01,Starry,5.12a,Sport,Upper Meadow,1,70,"Lead, Fell/Hung",Nico Br.,Got to the crux with one take but after clipping the crux perma saw that the quicklink on it was open and bent! Yikes! Lowered immediately 
2025-05-01,Mr. Cute,5.11a,Sport,Upper Meadow,1,70,"TR, Clean",Nico Br.,Came up again to get the rope to the anchors after Nico couldn���t quite make it to the chains
2025-05-01,Mr. Cute,5.11a,Sport,Upper Meadow,1,70,"Lead, Fell/Hung",Nico Br.,Totally hangdogged the crux. Crazy thin!
2025-05-01,The Wanderer,5.10a,Sport,Upper Meadow,1,60,"Lead, Onsight",Nico Br.,Kinda wack bolting on this one but the climbing movement was fun
